x y
-1788000 -3.9895
-1785500 -3.2825
-1783000 -2.8785
-1780500 -3.03
-1778000 -2.2725
-1775500 -1.8685
-1773000 -1.6665
-1770500 -0.909
-1768000 -1.414
-1765500 -1.616
-1763000 -1.4645
-1760500 -2.1715
-1758000 -1.6665
-1755500 -3.1815
-1753000 -2.727
-1750500 -3.2825
-1748000 -4.848
-1745500 -5.1005
-1743000 -4.6965
-1740500 -2.4745
-1738000 -2.5755
-1735500 -2.02
-1733000 -2.02
-1730500 -3.333
-1728000 -2.727
-1725500 -3.03
-1723000 -2.9795
-1720500 -2.626
-1718000 -1.616
-1715500 -1.8685
-1713000 -3.1815
-1710500 -3.333
-1708000 -3.6865
-1705500 -4.8985
-1703000 -4.646
-1700500 -4.7975
-1698000 -4.4945
-1695500 -2.8785
-1693000 -3.131
-1690500 -2.7775
-1688000 -2.626
-1685500 -2.727
-1683000 -1.9695
-1680500 -1.8685
-1678000 -2.2725
-1675500 -2.626
-1673000 -1.7675
-1670500 -3.333
-1668000 -3.434
-1665500 -3.5855
-1663000 -4.6965
-1660500 -4.444
-1658000 -4.6965
-1655500 -4.5955
-1653000 -5.454
-1650500 -5.3025
-1648000 -4.949
-1645500 -4.8985
-1643000 -4.2925
-1640500 -3.434
-1638000 -2.424
-1635500 -2.02
-1633000 -1.818
-1630500 -1.8685
-1628000 -1.7675
-1625500 -4.0905
-1623000 -2.828
-1620500 -2.424
-1618000 -2.2725
-1615500 -3.535
-1613000 -3.232
-1610500 -3.434
-1608000 -2.323
-1605500 -2.323
-1603000 -1.7675
-1600500 -0.8585
-1598000 -1.6665
-1595500 -2.0705
-1593000 -2.5755
-1590500 -3.333
-1588000 -2.626
-1585500 -2.323
-1583000 -3.03
-1580500 -3.9895
-1578000 -3.9895
-1575500 -4.949
-1573000 -5.252
-1570500 -4.8985
-1568000 -3.2825
-1565500 -2.6765
-1563000 -1.818
-1560500 -1.919
-1558000 -2.828
-1555500 -2.9795
-1553000 -2.626
-1550500 -2.424
-1548000 -3.131
-1545500 -3.8885
-1543000 -4.3935
-1540500 -5.555
-1538000 -5.959
-1535500 -5.8075
-1533000 -6.1105
-1530500 -5.05
-1528000 -3.838
-1525500 -3.4845
-1523000 -2.525
-1520500 -2.3735
-1518000 -2.222
-1515500 -2.9795
-1513000 -2.4745
-1510500 -2.727
-1508000 -4.141
-1505500 -4.7975
-1503000 -4.848
-1500500 -5.5045
-1498000 -5.1005
-1496000 -5.252
-1494000 -5.858
-1492000 -4.2925
-1490000 -2.8785
-1488000 -1.5655
-1486000 -1.111
-1484000 -1.111
-1482000 -1.8685
-1480000 -1.212
-1478000 -0.9595
-1476000 -1.111
-1474000 -0.5555
-1472000 -0.909
-1470000 -1.2625
-1468000 -2.121
-1466000 -3.3835
-1464000 -3.9895
-1462000 -5.151
-1460000 -4.3935
-1458000 -4.545
-1456000 -5.252
-1454000 -5.6055
-1452000 -5.05
-1450000 -3.03
-1448000 -1.4645
-1446000 -0.7575
-1444000 -0.808
-1442000 -0.6565
-1440000 -0.707
-1438000 -0.404
-1436000 -0.202
-1434000 -0.202
-1432000 -0.909
-1430000 -0.909
-1428000 -1.616
-1426000 -2.0705
-1424000 -2.626
-1422000 -2.626
-1420000 -3.1815
-1418000 -3.838
-1416000 -3.232
-1414000 -3.838
-1412000 -5.151
-1410000 -6.06
-1408000 -5.05
-1406000 -3.8885
-1404000 -3.8885
-1402000 -2.727
-1400000 -2.1715
-1398000 -1.818
-1396000 -1.4645
-1394000 -1.717
-1392000 -2.525
-1390000 -1.9695
-1388000 -2.6765
-1386000 -2.0705
-1384000 -2.626
-1382000 -3.131
-1380000 -3.838
-1378000 -4.2925
-1376000 -5.05
-1374000 -4.444
-1372000 -5.1005
-1370000 -5.353
-1368000 -4.242
-1366000 -5.05
-1364000 -3.9895
-1362000 -3.939
-1360000 -3.03
-1358000 -2.1715
-1356000 -1.7675
-1354000 -1.515
-1352000 -1.0605
-1350000 -1.4645
-1348000 -1.9695
-1346000 -2.3735
-1344000 -3.333
-1342000 -3.434
-1340000 -4.3935
-1338000 -4.9995
-1336000 -4.545
-1334000 -4.9995
-1332000 -4.9995
-1330000 -4.141
-1328000 -4.343
-1326000 -4.4945
-1324000 -4.04
-1322000 -3.9895
-1320000 -3.737
-1318000 -3.7875
-1316000 -2.6765
-1314000 -1.9695
-1312000 -2.5755
-1310000 -2.4745
-1308000 -2.2725
-1306000 -3.03
-1304000 -3.535
-1302000 -3.8885
-1300000 -4.343
-1298000 -4.3935
-1296000 -4.7975
-1294000 -5.05
-1292000 -3.737
-1290000 -4.747
-1288000 -5.8075
-1286000 -5.353
-1284000 -3.8885
-1282000 -3.232
-1280000 -2.2725
-1278000 -1.818
-1276000 -2.3735
-1274000 -2.5755
-1272000 -3.232
-1270000 -3.0805
-1268000 -3.232
-1266000 -3.5855
-1264000 -3.5855
-1262000 -3.838
-1260000 -4.3935
-1258000 -3.3835
-1256000 -3.535
-1254000 -4.5955
-1252000 -5.4035
-1250000 -5.3025
-1248000 -5.6055
-1246000 -5.858
-1244000 -4.545
-1242000 -3.2825
-1240000 -1.3635
-1238000 -0.6565
-1236000 -0.7575
-1234000 -0.909
-1232000 -0.707
-1230000 -1.0605
-1228000 -1.111
-1226000 -1.7675
-1224000 -2.1715
-1222000 -2.727
-1220000 -3.737
-1218000 -3.8885
-1216000 -2.6765
-1214000 -3.131
-1212000 -4.545
-1210000 -4.444
-1208000 -5.05
-1206000 -5.656
-1204000 -4.848
-1202000 -5.757
-1200000 -5.05
-1198000 -6.161
-1196000 -6.2115
-1194000 -5.454
-1192000 -5.4035
-1190000 -4.747
-1188000 -4.2925
-1186000 -2.3735
-1184000 -2.8785
-1182000 -2.2725
-1180000 -3.232
-1178000 -2.02
-1176000 -3.03
-1174000 -2.727
-1172000 -2.828
-1170000 -2.6765
-1168000 -2.02
-1166000 -1.818
-1164000 -1.6665
-1162000 -2.323
-1160000 -2.02
-1158000 -2.02
-1156000 -2.424
-1154000 -2.9795
-1152000 -2.828
-1150000 -2.7775
-1148000 -3.131
-1146000 -4.141
-1144000 -3.333
-1142000 -3.9895
-1140000 -3.8885
-1138000 -4.141
-1136000 -4.141
-1134000 -5.252
-1132000 -5.151
-1130000 -4.2925
-1128000 -5.656
-1126000 -5.959
-1124000 -6.565
-1122000 -5.757
-1120000 -6.4135
-1118000 -4.4945
-1116000 -5.05
-1114000 -4.747
-1112000 -4.646
-1110000 -3.232
-1108000 -3.2825
-1106000 -2.3735
-1104000 -3.1815
-1102000 -3.6865
-1100000 -4.1915
-1098000 -4.444
-1096000 -5.5045
-1094000 -4.1915
-1092000 -4.04
-1090000 -4.0905
-1088000 -3.7875
-1086000 -3.5855
-1084000 -3.4845
-1082000 -2.525
-1080000 -3.0805
-1078000 -2.0705
-1076000 -1.717
-1074000 -1.414
-1072000 -1.111
-1070000 -0.0505
-1068000 -0.707
-1066000 -0.6565
-1064000 -1.414
-1062000 -2.323
-1060000 -3.737
-1058000 -4.444
-1056000 -5.2015
-1054000 -4.646
-1052000 -5.3025
-1050000 -5.4035
-1048000 -4.949
-1046000 -5.5045
-1044000 -5.151
-1042000 -5.959
-1040000 -5.2015
-1038000 -5.7065
-1036000 -6.767
-1034000 -5.7065
-1032000 -5.858
-1030000 -4.444
-1028000 -3.7875
-1026000 -3.232
-1024000 -3.3835
-1022000 -2.222
-1020000 -1.8685
-1018000 -3.1815
-1016000 -2.929
-1014000 -2.6765
-1012000 -3.9895
-1010000 -4.6965
-1008000 -4.646
-1006000 -5.151
-1004000 -5.151
-1002000 -5.454
-1000000 -4.7975
-998000 -3.737
-996000 -3.232
-994000 -3.232
-992000 -3.737
-990000 -4.343
-988000 -4.5955
-986000 -5.1005
-984000 -5.252
-982000 -4.7975
-980000 -3.9895
-978000 -2.828
-976000 -2.626
-974000 -2.8785
-972000 -3.3835
-970000 -3.939
-968000 -4.4945
-966000 -5.1005
-964000 -5.555
-962000 -6.969
-960000 -6.161
-958000 -4.848
-956000 -2.6765
-954000 -0.6565
-952000 -0.9595
-950000 -0.505
-948000 -1.212
-946000 -1.414
-944000 -2.1715
-942000 -1.8685
-940000 -2.4745
-938000 -3.4845
-936000 -3.333
-934000 -4.141
-932000 -3.939
-930000 -4.3935
-928000 -4.545
-926000 -5.353
-924000 -5.959
-922000 -6.2115
-920000 -6.8175
-918000 -6.6155
-916000 -5.9085
-914000 -4.343
-912000 -4.1915
-910000 -4.4945
-908000 -3.9895
-906000 -3.9895
-904000 -4.646
-902000 -4.747
-900000 -4.8985
-898000 -5.5045
-896000 -5.7065
-894000 -6.06
-892000 -6.1105
-890000 -5.656
-888000 -6.0095
-886000 -6.3125
-884000 -6.4135
-882000 -6.4135
-880000 -6.161
-878000 -7.474
-876000 -7.0195
-874000 -7.5245
-872000 -7.474
-870000 -7.4235
-868000 -6.6155
-866000 -5.656
-864000 -4.343
-862000 -1.919
