x,temperature{thickness:5;stroke:yellow}
-155080,-8.58
-154957,-8.55
-154835,-8.49
-154714,-8.52
-154593,-8.17
-154473,-8.54
-154349,-9.08
-154225,-8.5
-154105,-8.28
-153983,-8.87
-153861,-8.37
-153743,-7.89
-153625,-8.4
-153506,-8.21
-153388,-8.08
-153271,-8.06
-153151,-8.84
-153029,-8.53
-152907,-8.8
-152783,-9
-152664,-7.85
-152551,-7.37
-152438,-7.86
-152322,-8.14
-152207,-7.64
-152094,-7.72
-151981,-7.62
-151868,-7.74
-151753,-8.1
-151637,-8.06
-151523,-7.61
-151412,-7.23
-151301,-7.68
-151188,-7.78
-151076,-7.64
-150963,-7.67
-150852,-7.49
-150740,-7.64
-150628,-7.86
-150513,-8.08
-150398,-8.15
-150283,-7.77
-150171,-7.69
-150058,-7.89
-149945,-7.89
-149832,-7.82
-149721,-7.4
-149611,-7.38
-149502,-7.42
-149393,-7.22
-149287,-6.91
-149181,-6.91
-149076,-6.86
-148972,-6.61
-148868,-6.75
-148762,-7.41
-148653,-7.43
-148545,-6.96
-148440,-6.93
-148333,-7.34
-148224,-7.54
-148116,-7.33
-148008,-7.34
-147899,-7.57
-147789,-7.61
-147679,-7.64
-147569,-7.66
-147460,-7.46
-147351,-7.52
-147241,-7.67
-147132,-7.54
-147022,-7.62
-146913,-7.72
-146802,-7.84
-146691,-7.84
-146581,-7.64
-146471,-7.7
-146362,-7.52
-146253,-7.67
-146141,-8.45
-146025,-8.47
-145910,-8.32
-145796,-8.25
-145684,-7.97
-145572,-8.05
-145459,-8.15
-145347,-8.02
-145236,-8.02
-145124,-7.95
-145014,-7.88
-144903,-8
-144792,-8.02
-144681,-7.98
-144570,-7.82
-144461,-7.71
-144352,-7.86
-144242,-7.99
-144131,-8
-144019,-8.31
-143905,-8.45
-143792,-8.34
-143678,-8.49
-143563,-8.62
-143449,-8.31
-143337,-8.13
-143226,-8
-143116,-7.9
-143006,-8.19
-142894,-8.32
-142782,-8.21
-142671,-7.93
-142562,-7.85
-142453,-7.79
-142346,-7.71
-142237,-8.13
-142126,-8.18
-142016,-7.95
-141905,-8.36
-141790,-8.87
-141675,-8.65
-141562,-8.34
-141450,-8.34
-141338,-8.31
-141227,-8.17
-141117,-8.09
-141006,-8.41
-140893,-8.58
-140779,-8.68
-140665,-8.73
-140551,-8.49
-140440,-8.25
-140329,-8.36
-140218,-8.12
-140108,-8.21
-139997,-8.54
-139885,-8.39
-139773,-8.51
-139661,-8.58
-139547,-8.7
-139434,-8.54
-139323,-8.31
-139212,-8.38
-139100,-8.75
-138986,-8.59
-138876,-8.11
-138766,-8.38
-138655,-8.6
-138542,-8.67
-138430,-8.44
-138319,-8.34
-138207,-8.82
-138093,-8.99
-137979,-8.64
-137868,-8.43
-137756,-8.66
-137643,-8.86
-137530,-8.7
-137418,-8.4
-137308,-8.4
-137197,-8.53
-137087,-8.3
-136978,-8.3
-136868,-8.59
-136756,-8.67
-136644,-8.67
-136532,-8.72
-136420,-8.59
-136308,-8.94
-136193,-9.24
-136078,-8.89
-135966,-8.51
-135858,-7.88
-135754,-7.55
-135651,-7.47
-135549,-7.45
-135446,-7.72
-135341,-7.98
-135235,-7.93
-135130,-7.82
-135026,-7.5
-134923,-7.62
-134819,-7.94
-134715,-7.51
-134614,-7.29
-134512,-7.54
-134411,-7.39
-134309,-7.44
-134206,-7.81
-134103,-7.51
-134003,-7.14
-133903,-7.31
-133802,-7.33
-133702,-7.13
-133604,-6.91
-133507,-6.83
-133408,-7.3
-133308,-7.48
-133207,-7.26
-133107,-7.18
-133009,-6.88
-132912,-6.9
-132815,-6.97
-132719,-6.39
-132628,-5.74
-132538,-5.76
-132447,-6.09
-132356,-5.93
-132266,-5.74
-132178,-5.4
-132091,-5.28
-132005,-4.89
-131923,-4.47
-131841,-4.46
-131759,-4.41
-131679,-3.81
-131603,-3.23
-131528,-3.23
-131452,-3.58
-131374,-3.93
-131296,-3.73
-131219,-3.54
-131142,-3.69
-131065,-3.84
-130987,-3.61
-130911,-3.36
-130836,-3.16
-130763,-2.76
-130691,-2.58
-130619,-2.58
-130548,-2.57
-130477,-2.52
-130406,-2.44
-130335,-2.42
-130264,-2.6
-130192,-2.78
-130120,-2.78
-130048,-2.48
-129978,-2.23
-129908,-2.28
-129840,-1.87
-129773,-1.45
-129707,-1.48
-129641,-1.51
-129574,-1.73
-129506,-1.94
-129439,-1.54
-129374,-1.14
-129311,-0.49
-129250,0.16
-129190,-0.42
-129128,-0.79
-129066,-0.58
-129004,-0.56
-128942,-0.54
-128880,-0.43
-128819,-0.31
-128759,-0.13
-128699,0.14
-128641,0.24
-128582,0.4
-128525,0.53
-128467,0.57
-128410,0.59
-128353,0.84
-128297,0.88
-128241,0.68
-128185,1.24
-128131,1.79
-128079,1.81
-128026,1.47
-127971,1.14
-127916,1.31
-127863,1.6
-127809,1.73
-127757,1.95
-127705,2.16
-127653,1.78
-127600,1.42
-127545,0.56
-127486,-0.31
-127428,0.67
-127374,2.2
-127324,2.78
-127274,2.52
-127224,2.25
-127172,1.83
-127119,1.39
-127065,1.42
-127011,1.44
-126958,1.7
-126906,1.96
-126854,2.2
-126804,2.45
-126753,2.16
-126702,1.87
-126650,2.11
-126599,2.37
-126549,2.71
-126501,3.06
-126453,3.08
-126405,3.16
-126357,3.23
-126309,2.78
-126259,2.5
-126210,2.68
-126161,2.7
-126112,2.72
-126062,2.49
-126012,2.26
-125961,2.06
-125910,2.16
-125860,2.49
-125810,2.58
-125760,2.43
-125710,2.22
-125660,2.37
-125610,2.52
-125560,2.4
-125510,2.29
-125460,2.37
-125410,2.46
