x y
-77098 -4.8
-77174 -4.8
-77251 -5
-77327 -4.76
-77402 -4.33
-77478 -5.43
-77557 -5.5
-77636 -5.23
-77714 -4.93
-77791 -5.28
-77870 -5.41
-77947 -4.95
-78020 -3.66
-78093 -4.87
-78173 -6.38
-78257 -6.11
-78341 -6.39
-78422 -5.41
-78498 -4.45
-78572 -4.25
-78645 -4.4
-78719 -4.75
-78794 -4.75
-78869 -4.5
-78943 -4.67
-79019 -4.93
-79096 -5.2
-79170 -4.04
-79240 -3.29
-79309 -3.87
-79381 -4.45
-79453 -3.89
-79523 -3.33
-79592 -3.79
-79662 -3.79
-79732 -3.81
-79802 -3.74
-79872 -3.73
-79942 -3.83
-80012 -3.48
-80080 -3.56
-80148 -3.01
-80213 -2.54
-80280 -3.65
-80352 -4.85
-80427 -4.59
-80500 -4.31
-80573 -4.53
-80647 -4.75
-80721 -4.27
-80792 -3.78
-80860 -3.1
-80925 -2.42
-80990 -2.98
-81055 -2.58
-81121 -3.46
-81190 -3.92
-81261 -3.94
-81331 -3.94
-81401 -3.7
-81470 -3.62
-81538 -3.27
-81608 -4.39
-81679 -3.71
-81747 -3.23
-81814 -3.2
-81881 -3.54
-81952 -4.32
-82025 -4.64
-82097 -4.27
-82168 -3.91
-82238 -3.91
-82308 -3.92
-82378 -4.01
-82448 -3.76
-82515 -2.53
-82576 -1.64
-82638 -2.65
-82703 -3.03
-82770 -3.43
-82838 -3.49
-82905 -3.29
-82971 -2.92
-83036 -2.64
-83100 -2.48
-83164 -2.92
-83229 -3.12
-83296 -3.23
-83361 -2.69
-83425 -2.64
-83489 -2.47
-83551 -2.34
-83615 -2.71
-83680 -3
-83746 -3.53
-83814 -3.42
-83881 -3.53
-83949 -3.51
-84016 -3.38
-84083 -3.38
-84150 -3.38
-84218 -3.63
-84286 -3.76
-84355 -3.64
-84423 -3.78
-84492 -3.91
-84562 -4.34
-84635 -4.87
-84707 -3.99
-84777 -4.35
-84848 -4.14
-84919 -4.12
-84989 -4.17
-85060 -4.4
-85132 -4.49
-85203 -4.39
-85274 -3.86
-85342 -3.46
-85410 -4.15
-85482 -4.83
-85554 -4.35
-85624 -3.8
-85695 -4.55
-85766 -4.28
-85837 -4.13
-85907 -4.21
-85978 -4.43
-86049 -4.43
-86122 -4.79
-86196 -5.13
-86271 -5.12
-86345 -5.12
-86420 -5.11
-86495 -5.1
-86570 -5.07
-86644 -5.03
-86719 -5.07
-86793 -4.93
-86866 -4.86
-86938 -4.09
-87008 -4.1
-87077 -4.11
-87148 -4.65
-87221 -4.91
-87296 -5.34
-87373 -5.76
-87450 -5.23
-87523 -4.69
-87597 -5.1
-87672 -5.43
-87748 -5.42
-87825 -5.41
-87900 -5.06
-87973 -4.69
-88048 -5.61
-88128 -6.68
-88209 -5.94
-88286 -5.34
-88362 -5.58
-88440 -5.73
-88517 -5.77
-88594 -5.18
-88668 -5.11
-88740 -4.16
-88812 -5
-88885 -4.79
-88959 -5.02
-89033 -4.99
-89107 -5.19
-89182 -5.21
-89258 -5.72
-89336 -5.81
-89411 -4.73
-89480 -3.53
-89547 -3.61
-89615 -4.05
-89685 -4.12
-89753 -3.85
-89823 -4.61
-89896 -4.85
-89968 -4.59
-90040 -4.83
-90114 -5.1
-90187 -4.71
-90259 -4.54
-90329 -3.99
-90398 -4.12
-90470 -4.94
-90542 -4.77
-90617 -5.45
-90690 -4.58
-90759 -3.32
-90827 -4.28
-90897 -4.46
-90967 -4.06
-91037 -4.14
-91107 -4.62
-91180 -5.15
-91254 -4.7
-91325 -4.48
-91397 -4.69
-91468 -4.44
-91540 -4.92
-91615 -5.61
-91690 -4.68
-91761 -4.27
-91829 -3.45
-91895 -3.27
-91961 -3.45
-92026 -3.25
-92093 -3.88
-92164 -4.97
-92238 -4.97
-92311 -4.84
-92382 -4.12
-92450 -3.66
-92517 -3.51
-92585 -4.15
-92655 -4.35
-92725 -4.45
-92795 -4.05
-92864 -3.87
-92932 -3.8
-93000 -3.96
-93070 -4.39
-93141 -4.77
-93214 -4.9
-93284 -3.64
-93351 -3.39
-93418 -3.89
-93487 -4
-93556 -4
-93624 -4
-93693 -3.85
-93761 -3.7
-93828 -3.7
-93895 -3.7
-93964 -4
-94033 -4.3
-94103 -3.95
-94170 -3.5
-94237 -3.5
-94304 -3.8
-94372 -3.87
-94441 -4.23
-94511 -4.35
-94582 -4.28
-94652 -4.35
-94722 -3.88
-94791 -4.2
-94861 -4.51
-94933 -4.51
-95004 -4.51
-95075 -4.42
-95148 -5.24
-95222 -4.9
-95294 -4.35
-95365 -4.57
-95439 -5.46
-95514 -4.98
-95588 -4.88
-95659 -4.12
-95727 -3.36
-95794 -4.1
-95864 -4.24
-95936 -4.82
-96010 -5.38
-96085 -4.87
-96157 -4.38
-96228 -4.51
-96300 -4.84
-96371 -3.93
-96439 -3.5
-96505 -3.51
-96572 -3.51
-96640 -4.12
-96712 -4.75
-96783 -4.39
-96855 -4.56
-96925 -4
-96994 -3.8
-97063 -4.17
-97134 -4.58
-97205 -4.35
-97275 -4.12
-97345 -4.07
-97414 -4.03
-97484 -4.01
-97553 -3.95
-97622 -3.92
-97691 -4.08
-97760 -3.89
-97828 -3.49
-97894 -3.49
-97961 -3.49
-98028 -3.45
-98095 -3.65
-98163 -3.83
-98232 -4.08
-98301 -3.59
-98367 -3.11
-98432 -3.11
-98498 -3.39
-98565 -3.68
-98633 -3.68
-98700 -3.61
-98768 -3.53
-98835 -3.42
-98902 -3.64
-98969 -3.52
-99036 -3.41
-99102 -3.29
-99168 -3.18
-99234 -3.18
-99299 -2.99
-99363 -2.77
-99427 -2.67
-99490 -2.58
-99554 -2.96
-99618 -2.81
-99681 -2.27
-99743 -2.37
-99806 -2.49
-99868 -2.36
-99930 -2.23
-99991 -2.1
-100052 -1.97
-100114 -2.42
-100177 -2.86
-100241 -2.63
-100304 -2.42
-100366 -2.26
-100427 -2.11
-100489 -2.48
-100553 -2.85
-100618 -3.08
-100684 -3.32
-100749 -2.82
-100812 -2.33
-100876 -2.93
-100942 -3.55
-101008 -3.09
-101073 -2.61
-101137 -3.19
-101205 -3.78
-101273 -3.67
-101341 -3.55
-101410 -4.04
-101481 -4.52
-101553 -4.46
-101625 -4.41
-101697 -4.41
-101769 -4.5
-101841 -4.45
-101912 -4.3
-101984 -4.24
-102054 -4.16
-102125 -4.11
-102195 -4.05
-102266 -4.22
-102337 -4.4
-102409 -4.37
-102480 -4.32
-102552 -4.33
-102623 -4.33
-102695 -4.25
-102766 -4.17
-102837 -4.17
-102908 -4.52
-102982 -4.85
-103055 -4.66
-103128 -4.48
-103200 -4.28
-103271 -4.1
-103342 -4.2
-103413 -4.29
-103485 -4.51
-103559 -4.71
-103631 -4.33
-103702 -3.93
-103772 -3.93
-103842 -3.92
-103911 -3.82
-103980 -3.71
-104048 -3.21
-104114 -2.71
-104179 -3.37
-104248 -4.02
-104319 -4.25
-104391 -4.48
-104463 -4.26
-104535 -4.04
-104606 -4.32
-104678 -4.6
-104752 -4.84
-104828 -5.07
-104902 -4.73
-104976 -4.4
-105048 -4.4
-105121 -4.4
-105194 -4.88
-105270 -5.36
-105349 -5.92
-105431 -6.48
-105515 -6.48
-105599 -6.48
-105683 -6.48
-105767 -6.67
-105852 -6.85
-105938 -6.9
-106025 -6.95
-106111 -6.95
-106198 -6.83
-106283 -6.71
-106369 -6.71
-106454 -6.64
-106538 -6.57
-106622 -6.43
-106706 -6.28
-106789 -6.28
-106872 -6.28
-106954 -6.27
-107037 -6.27
-107121 -6.53
-107206 -6.81
-107292 -6.81
-107378 -6.44
-107461 -6.09
-107543 -6.09
-107625 -6.09
-107707 -6.2
-107790 -6.3
-107872 -5.88
-107952 -5.47
-108031 -5.53
-108110 -5.58
-108189 -5.58
-108269 -5.58
-108348 -5.58
-108427 -5.57
-108507 -5.57
-108586 -5.57
-108666 -5.57
-108746 -6
-108829 -6.42
-108913 -6.25
-108996 -6.08
-109078 -5.88
-109159 -5.68
-109239 -5.68
-109319 -5.68
-109399 -5.68
-109480 -5.68
-109560 -5.68
-109640 -5.68
-109721 -6.02
-109805 -6.37
-109889 -6.37
-109973 -6.16
-110055 -5.94
-110137 -5.94
-110219 -5.94
